file,records_total,records_accepted,records_rejected,top_reject_reason
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\_FORENSIC_VIEW\VALIDATION_FILES.csv,4,0,4,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\02_CODE_CORE\tools\profiles\paper.profile.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\02_CODE_CORE\tools\profiles\paper2.profile.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\04_RUNTIME_LOGS\hardened_shadow_plans.jsonl,2,0,2,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\04_RUNTIME_LOGS\shadow_plans.jsonl,62,0,62,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\05_VALIDATION\_VALIDATION_FILELIST.csv,4,0,4,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\05_VALIDATION\config_registry.jsonl,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\05_VALIDATION\governance_status.jsonl,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\05_VALIDATION\kpi_snapshots.jsonl,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\05_VALIDATION\outcome_ledger.jsonl,2,0,2,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\DUALPID_ERADICATE_V1_20260305_134609\restore_extract\INSTITUTIONAL_PATH_TASK_HYGIENE_20260305_133245\logs\shadow_plans.jsonl,0,0,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\DUALPID_EVIDENCE_V1FIX_20260305_125754\logs\shadow_plans.jsonl,0,0,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\ENTERPRISE_FORENSIC_SNAPSHOT_20260306_175631\VALIDATION_FILES.csv,4,0,4,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\EVIDENCE_PAPER_20260303_131810\config_scrubbed\configs\profiles\_ARCHIVE\paper2.profile.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\EVIDENCE_PAPER_20260303_131810\config_scrubbed\configs\profiles\paper.profile.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\EVIDENCE_PAPER_20260303_131810\config_scrubbed\configs\profiles\shadow.profile.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\EVIDENCE_PAPER_20260303_131810\HASHES_SHA256.csv,18,0,18,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\EVIDENCE_PAPER_20260303_131810\logs_tail\shadow_plans.jsonl,0,0,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\EVIDENCE_PAPER_20260303_131810\MANIFEST.csv,18,0,18,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\EVIDENCE_PAPER_20260303_132138\config_scrubbed\configs\profiles\_ARCHIVE\paper2.profile.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\EVIDENCE_PAPER_20260303_132138\config_scrubbed\configs\profiles\paper.profile.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\EVIDENCE_PAPER_20260303_132138\config_scrubbed\configs\profiles\shadow.profile.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\EVIDENCE_PAPER_20260303_132138\HASHES_SHA256.csv,18,0,18,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\EVIDENCE_PAPER_20260303_132138\logs_tail\shadow_plans.jsonl,0,0,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\EVIDENCE_PAPER_20260303_132138\MANIFEST.csv,18,0,18,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\INSTITUTIONAL_PATH_TASK_HYGIENE_20260305_133245\logs\shadow_plans.jsonl,0,0,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\META_FOLDER_LOCATE_V1_20260304_160923\audit\results\dir_candidates.csv,2,0,2,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\META_FOLDER_LOCATE_V1_20260304_160923\audit\results\file_candidates.csv,15,0,15,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\META_FOLDER_LOCATE_V1_20260304_160923\audit\results\pattern_hits.csv,128,0,128,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\MYGPT_UPLOAD_20260304_074608\audit\configs\profiles\_ARCHIVE\paper2.profile.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\MYGPT_UPLOAD_20260304_074608\audit\configs\profiles\paper.profile.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\MYGPT_UPLOAD_20260304_074608\audit\runtime\paper\logs\createprocess_trap.jsonl,11,0,11,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\MYGPT_UPLOAD_20260304_074608\audit\runtime\paper\logs\engine_daily_metrics_20260227.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\MYGPT_UPLOAD_20260304_074608\audit\runtime\paper\logs\engine_daily_metrics_20260228.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\MYGPT_UPLOAD_20260304_074608\audit\runtime\paper\logs\engine_daily_metrics_20260302.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\MYGPT_UPLOAD_20260304_074608\audit\runtime\paper\logs\engine_daily_metrics_20260303.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\MYGPT_UPLOAD_20260304_074608\audit\runtime\paper\logs\engine_daily_metrics_20260304.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\MYGPT_UPLOAD_20260304_074608\audit\runtime\paper\logs\ops\gate_state_20260227.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\MYGPT_UPLOAD_20260304_074608\audit\runtime\paper\logs\ops\gate_state_20260228.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\MYGPT_UPLOAD_20260304_074608\audit\runtime\paper\logs\ops\gate_state_20260302.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\MYGPT_UPLOAD_20260304_074608\audit\runtime\paper\logs\ops\gate_state_20260303.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\MYGPT_UPLOAD_20260304_074608\audit\runtime\paper\logs\ops\gate_state_20260304.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\MYGPT_UPLOAD_20260304_074608\audit\runtime\paper\logs\shadow_plans.jsonl,0,0,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\MYGPT_UPLOAD_20260304_074608\audit\runtime\paper\logs\sitecustomize_loaded.jsonl,172,0,172,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\MYGPT_UPLOAD_20260304_074608\audit\runtime\paper\logs\spawn_trap.jsonl,86,0,86,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\MYGPT_UPLOAD_20260304_074608\audit\runtime\paper\logs\supervisor_events.jsonl,32,0,32,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\MYGPT_UPLOAD_20260304_074608\audit\runtime\paper\logs\supervisor_events.v3.jsonl,1090,0,1090,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\MYGPT_UPLOAD_20260304_074608\audit\runtime\paper\state\boot_guard.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\MYGPT_UPLOAD_20260304_074608\audit\runtime\paper\state\kpi\paper_kpi_latest.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\MYGPT_UPLOAD_20260304_074608\audit\runtime\paper\state\kpi\trades_latest.csv,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\MYGPT_UPLOAD_20260304_074608\audit\runtime\paper\state\risk\daily_summary_2026-03-02.json,1,0,1,missing_r_value
