file,source_kind,records_sampled,field_count,score,matched_fields
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\_FORENSIC_VIEW\CODE_FILES.csv,csv,25,3,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\_FORENSIC_VIEW\FULL_FILE_TREE.csv,csv,25,3,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\_FORENSIC_VIEW\LOG_FILES.csv,csv,25,3,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\_FORENSIC_VIEW\OPS_FILES.csv,csv,25,3,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\_FORENSIC_VIEW\RUNTIME_FILES.csv,csv,25,3,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\_FORENSIC_VIEW\VALIDATION_FILES.csv,csv,4,3,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\BOT_NOT_RUNNING_DIAG_20260303_214743\audit\PROC_CENSUS.csv,csv,2,5,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\BOT_NOT_RUNNING_DIAG_20260303_214743\audit\PROC_TBOT.csv,csv,0,0,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\BOT_NOT_RUNNING_DIAG_20260303_214743\audit\PROC_UNIFIED.csv,csv,0,0,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\BOT_NOT_RUNNING_DIAG_20260303_214743\audit\TAILS\TAIL_meta_engine.jsonl,jsonl,25,3,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\BOT_NOT_RUNNING_DIAG_20260303_214743\audit\TAILS\TAIL_meta_events.jsonl,jsonl,25,3,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\BOT_NOT_RUNNING_DIAG_20260303_214743\audit\TAILS\TAIL_supervisor_events.jsonl,jsonl,25,8,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CAPITAL_ALLOCATOR_V1_20260303_172932\capital_allocation.json,json,1,7,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CAPITAL_ALLOCATOR_V1_20260303_172932\capital_allocator_config.json,json,1,12,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\01_PROJECT_SNAPSHOT\LEGACY_FILE_TREE.csv,csv,25,4,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\01_PROJECT_SNAPSHOT\TASKS_HASHES.csv,csv,12,4,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\01_PROJECT_SNAPSHOT\UNIFIED_FILE_TREE.csv,csv,25,4,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\01_PROJECT_SNAPSHOT\WRAPPERS_HASHES.csv,csv,25,4,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\02_CODE_CORE\_CODE_PACK_FILELIST.csv,csv,25,4,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\02_CODE_CORE\datasets\manifest.json,json,1,1,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\02_CODE_CORE\logs\meta.jsonl,jsonl,25,5,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\02_CODE_CORE\logs\ops\gate_state_20260301.json,json,1,10,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\02_CODE_CORE\logs\ops\gate_state_20260302.json,json,1,10,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\02_CODE_CORE\logs\ops\gate_state_20260303.json,json,1,10,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\02_CODE_CORE\logs\spawn_trap.jsonl,jsonl,5,7,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\02_CODE_CORE\runtime\paper\logs\meta_events.jsonl,jsonl,25,5,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\02_CODE_CORE\state\heartbeat.ORPHAN_20260224_185106.json,json,1,12,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\02_CODE_CORE\tools\profiles\paper.profile.json,json,1,31,1,entry
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\02_CODE_CORE\tools\profiles\paper2.profile.json,json,1,31,1,entry
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\02_CODE_CORE\tools\profiles\shadow.profile.json,json,1,4,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\03_OPS_TASKS_WRAPPERS_PATCHES\_OPS_PACK_FILELIST.csv,csv,25,4,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\03_OPS_TASKS_WRAPPERS_PATCHES\patches\DUALPID_PERMAFIX_DIAG_V1_1_20260305_113329\out\smoke\pid_samples.csv,csv,15,5,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\03_OPS_TASKS_WRAPPERS_PATCHES\patches\DUALPID_PERMAFIX_V1_20260305_113140\out\smoke\pid_samples.csv,csv,0,0,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\03_OPS_TASKS_WRAPPERS_PATCHES\patches\MAINPY_RESTORE_SCAN_20260302_092209\SCAN_REPORT.csv,csv,6,4,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\03_OPS_TASKS_WRAPPERS_PATCHES\patches\ROOT_RESTORE_MAINPY_20260302_114454\ranked_candidates.csv,csv,25,4,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\04_RUNTIME_LOGS\_LOG_INDEX.csv,csv,25,4,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\04_RUNTIME_LOGS\createprocess_trap.jsonl,jsonl,13,7,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\04_RUNTIME_LOGS\hardened_shadow_plans.jsonl,jsonl,2,12,4,"entry,strategy,symbol,timestamp"
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\04_RUNTIME_LOGS\hardening_events.jsonl,jsonl,10,5,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\04_RUNTIME_LOGS\meta_events.jsonl,jsonl,25,5,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\04_RUNTIME_LOGS\shadow_plans.jsonl,jsonl,25,11,4,"entry,strategy,symbol,timestamp"
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\04_RUNTIME_LOGS\sitecustomize_loaded.jsonl,jsonl,6,8,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\04_RUNTIME_LOGS\supervisor_events.jsonl,jsonl,25,8,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\04_RUNTIME_LOGS\supervisor_events.v3.jsonl,jsonl,25,3,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\05_VALIDATION\_VALIDATION_FILELIST.csv,csv,4,4,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\05_VALIDATION\config_registry.jsonl,jsonl,1,3,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\05_VALIDATION\governance_status.jsonl,jsonl,1,3,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\05_VALIDATION\kpi_snapshots.jsonl,jsonl,1,18,1,timestamp
