file,target_field,present
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\_FORENSIC_VIEW\CODE_FILES.csv,strategy,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\_FORENSIC_VIEW\CODE_FILES.csv,symbol,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\_FORENSIC_VIEW\CODE_FILES.csv,regime,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\_FORENSIC_VIEW\CODE_FILES.csv,r_value,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\_FORENSIC_VIEW\CODE_FILES.csv,pnl,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\_FORENSIC_VIEW\CODE_FILES.csv,risk,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\_FORENSIC_VIEW\CODE_FILES.csv,entry,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\_FORENSIC_VIEW\CODE_FILES.csv,exit,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\_FORENSIC_VIEW\CODE_FILES.csv,timestamp,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\_FORENSIC_VIEW\FULL_FILE_TREE.csv,strategy,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\_FORENSIC_VIEW\FULL_FILE_TREE.csv,symbol,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\_FORENSIC_VIEW\FULL_FILE_TREE.csv,regime,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\_FORENSIC_VIEW\FULL_FILE_TREE.csv,r_value,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\_FORENSIC_VIEW\FULL_FILE_TREE.csv,pnl,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\_FORENSIC_VIEW\FULL_FILE_TREE.csv,risk,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\_FORENSIC_VIEW\FULL_FILE_TREE.csv,entry,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\_FORENSIC_VIEW\FULL_FILE_TREE.csv,exit,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\_FORENSIC_VIEW\FULL_FILE_TREE.csv,timestamp,0
