file,issue,count
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\_FORENSIC_VIEW\VALIDATION_FILES.csv,missing_r_value,4
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\02_CODE_CORE\tools\profiles\paper.profile.json,missing_r_value,1
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\02_CODE_CORE\tools\profiles\paper2.profile.json,missing_r_value,1
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\04_RUNTIME_LOGS\hardened_shadow_plans.jsonl,missing_r_value,2
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\04_RUNTIME_LOGS\shadow_plans.jsonl,missing_r_value,62
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\05_VALIDATION\_VALIDATION_FILELIST.csv,missing_r_value,4
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\05_VALIDATION\config_registry.jsonl,missing_r_value,1
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\05_VALIDATION\governance_status.jsonl,missing_r_value,1
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\05_VALIDATION\kpi_snapshots.jsonl,missing_r_value,1
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\05_VALIDATION\outcome_ledger.jsonl,missing_r_value,2
