"FullName","SizeMB","Extension","LastWriteTime"
"C:\alpaca-bot\ORG_BOT_UNIFIED\code\_quarantine\staging_quarantine_20260216_124236\logs_ops_knowledge_current\zips\UPLOAD_SUPER.zip","9.77",".zip","2/16/2026 10:50:48 AM"
"C:\alpaca-bot\ORG_BOT_UNIFIED\code\_quarantine\staging_quarantine_20260216_124236\logs_ops_knowledge_current\zips\UPLOAD_MYGPT_SUPER_20260216_105045.zip","9.77",".zip","2/16/2026 10:50:48 AM"
"C:\alpaca-bot\ORG_BOT_UNIFIED\code\_quarantine\staging_quarantine_20260216_124236\logs_ops_knowledge_current\zips\UPLOAD_MYGPT_SUPER_20260216_091656.zip","9.77",".zip","2/16/2026 10:50:48 AM"
"C:\alpaca-bot\ORG_BOT_UNIFIED\code\_quarantine\staging_quarantine_20260216_124236\logs_ops_knowledge_current\zips\UPLOAD_SUPER_20260216_080349_a1523662.zip","5.29",".zip","2/16/2026 10:50:48 AM"
"C:\alpaca-bot\ORG_BOT_UNIFIED\code\_quarantine\staging_quarantine_20260216_124236\logs_ops_knowledge_current\backup_20260216_083335\ORG_BOT_KNOWLEDGE_SUPER.zip","5.29",".zip","2/16/2026 8:03:48 AM"
"C:\alpaca-bot\ORG_BOT_UNIFIED\code\_quarantine\staging_quarantine_20260216_124236\logs_ops_knowledge_current\backup_20260216_083335\UPLOAD_SUPER_20260216_080349_a1523662.zip","5.29",".zip","2/16/2026 8:03:48 AM"
"C:\alpaca-bot\ORG_BOT_UNIFIED\code\_quarantine\staging_quarantine_20260216_124236\logs_ops_knowledge_current\backup_20260216_083432\UPLOAD_SUPER_20260216_080349_a1523662.zip","5.29",".zip","2/16/2026 8:03:48 AM"
"C:\alpaca-bot\ORG_BOT_UNIFIED\code\_quarantine\staging_quarantine_20260216_124236\logs_ops_knowledge_current\backup_20260216_083432\ORG_BOT_KNOWLEDGE_SUPER.zip","5.29",".zip","2/16/2026 8:03:48 AM"
"C:\alpaca-bot\ORG_BOT_UNIFIED\code\_quarantine\staging_quarantine_20260216_124236\logs_ops_knowledge_current\backup_20260216_083335\UPLOAD_SUPER.zip","5.29",".zip","2/16/2026 7:48:52 AM"
"C:\alpaca-bot\ORG_BOT_UNIFIED\code\_quarantine\staging_quarantine_20260216_124236\logs_ops_knowledge_current\backup_20260216_083432\UPLOAD_SUPER.zip","5.29",".zip","2/16/2026 7:48:52 AM"
"C:\alpaca-bot\ORG_BOT_UNIFIED\code\_quarantine\staging_quarantine_20260216_124236\logs_ops_knowledge_current\backup_20260216_071918\UPLOAD_SUPER.zip","5.29",".zip","2/16/2026 7:05:36 AM"
"C:\alpaca-bot\ORG_BOT_UNIFIED\code\_quarantine\staging_quarantine_20260216_124236\logs_ops_knowledge_current\backup_20260216_071918\ORG_BOT_KNOWLEDGE_SUPER.zip","5.29",".zip","2/16/2026 7:05:36 AM"
"C:\alpaca-bot\ORG_BOT_UNIFIED\code\_quarantine\staging_quarantine_20260216_124236\logs_ops_knowledge_current\zips\ORG_BOT_KNOWLEDGE_SUPER.zip","4.6",".zip","2/16/2026 10:50:50 AM"
"C:\alpaca-bot\ORG_BOT_UNIFIED\code\_quarantine\staging_quarantine_20260216_124236\logs_ops_knowledge_current\zips\UPLOAD_SUPER_20260216_085424.zip","4.6",".zip","2/16/2026 10:50:48 AM"
"C:\alpaca-bot\ORG_BOT_UNIFIED\code\_quarantine\staging_quarantine_20260216_124236\logs_ops_knowledge_current\_mygpt_super_20260216_090845\ORG_BOT_ROLLING_LAST10.zip","4.59",".zip","2/16/2026 8:45:38 AM"
"C:\alpaca-bot\ORG_BOT_UNIFIED\code\_quarantine\staging_quarantine_20260216_124236\logs_ops_knowledge_current\zips\ORG_BOT_ROLLING_LAST10.zip","4.59",".zip","2/16/2026 10:50:50 AM"
"C:\alpaca-bot\ORG_BOT_UNIFIED\code\_quarantine\staging_quarantine_20260216_124236\logs_ops_knowledge_current\_mygpt_super_20260216_091205\ORG_BOT_ROLLING_LAST10.zip","4.59",".zip","2/16/2026 8:45:38 AM"
"C:\alpaca-bot\ORG_BOT_UNIFIED\code\_quarantine\staging_quarantine_20260216_124236\logs_ops_knowledge_current\backup_20260216_083335\ORG_BOT_ROLLING_LAST10.zip","4.59",".zip","2/16/2026 8:03:48 AM"
"C:\alpaca-bot\ORG_BOT_UNIFIED\code\_quarantine\staging_quarantine_20260216_124236\logs_ops_knowledge_current\backup_20260216_071918\ORG_BOT_ROLLING_LAST10.zip","4.59",".zip","2/16/2026 7:05:14 AM"
"C:\alpaca-bot\ORG_BOT_UNIFIED\code\_quarantine\staging_quarantine_20260216_124236\logs_ops_knowledge_current\backup_20260216_083432\ORG_BOT_ROLLING_LAST10.zip","4.59",".zip","2/16/2026 8:03:48 AM"
"C:\alpaca-bot\ORG_BOT_UNIFIED\code\_quarantine\staging_quarantine_20260216_124236\logs_ops_knowledge_current\zips\_super_20260216_083432\ORG_BOT_ROLLING_LAST10.zip","4.59",".zip","2/16/2026 8:34:32 AM"
"C:\alpaca-bot\ORG_BOT_UNIFIED\code\_quarantine\staging_quarantine_20260216_124236\logs_ops_knowledge_current\_mygpt_super_20260216_090845\latest_daily\meta_20260213.jsonl.bak_20260216_123541","3.95",".bak_20260216_123541","2/13/2026 4:48:44 PM"
