file,source_kind,records_sampled,score,strategy_field,symbol_field,regime_field,r_value_field,pnl_field,risk_field,entry_field,exit_field,timestamp_field
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\05_VALIDATION\outcome_ledger.jsonl,jsonl,2,6,sid,symbol,regime,realized_r,,,entry,,ts
C:\alpaca-bot\ORG_BOT_UNIFIED\runtime\paper\validation_v2\outcome_ledger.jsonl,jsonl,2,6,sid,symbol,regime,realized_r,,,entry,,ts
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\04_RUNTIME_LOGS\hardened_shadow_plans.jsonl,jsonl,2,4,sid,symbol,,,,,entry,,ts
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\04_RUNTIME_LOGS\shadow_plans.jsonl,jsonl,25,4,sid,symbol,,,,,entry,,ts
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\MYGPT_UPLOAD_20260304_074608\audit\runtime\paper\state\kpi\trades_latest.csv,csv,1,4,sid,symbol,,,,risk_usd,,,ts
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_VALIDATION_BASELINE_V1_20260306_073628\state\kpi\trades_latest.csv,csv,1,4,sid,symbol,,,,risk_usd,,,ts
C:\alpaca-bot\ORG_BOT_UNIFIED\runtime\paper\logs\hardened_shadow_plans.jsonl,jsonl,2,4,sid,symbol,,,,,entry,,ts
C:\alpaca-bot\ORG_BOT_UNIFIED\runtime\paper\logs\shadow_plans.jsonl,jsonl,25,4,sid,symbol,,,,,entry,,ts
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\DASHBOARD_20260303_180953\quant_dashboard.json,json,1,2,,,regime,,,,,,ts
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\REGIME_ENGINE_V1_20260303_175451\regime_allowlist.json,json,1,2,,,regime,,,,,,ts
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\REGIME_ENGINE_V1_20260303_175451\regime_report.json,json,1,2,,,regime,,,,,,ts
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\BOT_NOT_RUNNING_DIAG_20260303_214743\audit\TAILS\TAIL_meta_engine.jsonl,jsonl,25,1,,,,,,,,,ts
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\BOT_NOT_RUNNING_DIAG_20260303_214743\audit\TAILS\TAIL_meta_events.jsonl,jsonl,25,1,,,,,,,,,ts
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\BOT_NOT_RUNNING_DIAG_20260303_214743\audit\TAILS\TAIL_supervisor_events.jsonl,jsonl,25,1,,,,,,,,,ts
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CAPITAL_ALLOCATOR_V1_20260303_172932\capital_allocation.json,json,1,1,,,,,,,,,ts
