"rr_threshold","confidence_threshold","qualified_rows","avg_rr","avg_confidence","accept_rate","sample_penalty","quality_score"
"1.2","0.5","0","0","0","0","0.5","0.01"
"1.2","0.55","0","0","0","0","0.5","0.01"
"1.2","0.6","0","0","0","0","0.5","0.01"
"1.2","0.65","0","0","0","0","0.5","0.01"
"1.5","0.5","0","0","0","0","0.5","0.01"
"1.5","0.55","0","0","0","0","0.5","0.01"
"1.5","0.6","0","0","0","0","0.5","0.01"
"1.5","0.65","0","0","0","0","0.5","0.01"
"1.8","0.5","0","0","0","0","0.5","0.01"
"1.8","0.55","0","0","0","0","0.5","0.01"
"1.8","0.6","0","0","0","0","0.5","0.01"
"1.8","0.65","0","0","0","0","0.5","0.01"
"2","0.5","0","0","0","0","0.5","0.01"
"2","0.55","0","0","0","0","0.5","0.01"
"2","0.6","0","0","0","0","0.5","0.01"
"2","0.65","0","0","0","0","0.5","0.01"
