"rr_threshold","confidence_threshold","total_rows","avg_rr","avg_confidence","accept_rate","quality_score"
"1.2","0.5","13073","2","0.342","0.15218","0.834154"
"1.2","0.55","13073","2","0.342","0.15218","0.834154"
"1.2","0.6","13073","2","0.342","0.15218","0.834154"
"1.2","0.65","13073","2","0.342","0.15218","0.834154"
"1.5","0.5","13073","2","0.342","0.15218","0.834154"
"1.5","0.55","13073","2","0.342","0.15218","0.834154"
"1.5","0.6","13073","2","0.342","0.15218","0.834154"
"1.5","0.65","13073","2","0.342","0.15218","0.834154"
"1.8","0.5","13073","2","0.342","0.15218","0.834154"
"1.8","0.55","13073","2","0.342","0.15218","0.834154"
