"ts","section","metric","value","notes"
"2026-03-11 15:13:17","Runtime","family_count","0",""
"2026-03-11 15:13:17","Runtime","family_root_pids","",""
"2026-03-11 15:13:17","Runtime","lock_pid_present","False",""
"2026-03-11 15:13:17","Runtime","last_heartbeat_ts","2026-03-11 13:00:56",""
"2026-03-11 15:13:17","Runtime","meta_line_count","217445",""
"2026-03-11 15:13:17","Runtime","perf_line_count","21805",""
"2026-03-11 15:13:17","Market","regime","CHOP",""
"2026-03-11 15:13:17","Market","confidence","0.3393",""
"2026-03-11 15:13:17","Market","regime_reason","chop_spread(0.0002)",""
"2026-03-11 15:13:17","Market","alpha_mode","OFF",""
"2026-03-11 15:13:17","Market","alpha_reason","alpha_off_chop(ts=0.026)",""
"2026-03-11 15:13:17","Market","bias","LONG",""
"2026-03-11 15:13:17","Market","trend_strength","0.0257",""
"2026-03-11 15:13:17","Market","vwap_state","ABOVE",""
"2026-03-11 15:13:17","Market","ema_sep","0.000214",""
"2026-03-11 15:13:17","Strategy","last_gate_decision","REJECT",""
"2026-03-11 15:13:17","Strategy","last_gate_reason","alpha_mode_off",""
"2026-03-11 15:13:17","Strategy","last_plan_sid","A_VALIDATION_PIPELINE_V1",""
"2026-03-11 15:13:17","Strategy","last_skipped_sid","",""
"2026-03-11 15:13:17","Strategy","last_skipped_reason","alpha_mode_off",""
"2026-03-11 15:13:17","Strategy","plan_created_count_tail","0",""
"2026-03-11 15:13:17","Strategy","plan_skipped_count_tail","154",""
"2026-03-11 15:13:17","Strategy","gate_accept_count_tail","71",""
"2026-03-11 15:13:17","Strategy","chop_v1_eval_count_tail","103",""
"2026-03-11 15:13:17","Strategy","chop_v1_plan_created_count_tail","0",""
"2026-03-11 15:13:17","Strategy","chop_v1_rejected_count_tail","103",""
"2026-03-11 15:13:17","PnL","realized_r_total","0",""
"2026-03-11 15:13:17","PnL","realized_r_count","0",""
"2026-03-11 15:13:17","PnL","risk_per_trade_usd","250",""
"2026-03-11 15:13:17","PnL","realized_usd_total","0","Computed as realized_r_total * risk_per_trade_usd"
"2026-03-11 15:13:17","Risk","ledger_day_key","2026-03-11",""
"2026-03-11 15:13:17","Risk","ledger_week_key","2026-W11",""
"2026-03-11 15:13:17","Risk","daily_budget_used_r","1.25",""
"2026-03-11 15:13:17","Risk","weekly_budget_used_r","1.25",""
"2026-03-11 15:13:17","Risk","open_risk_r","0.5",""
"2026-03-11 15:13:17","Risk","open_positions_count","0",""
"2026-03-11 15:13:17","Risk","ledger_last_reason","smoke_release",""
"2026-03-11 15:13:17","Stability","regime_exception_count_tail","0",""
"2026-03-11 15:13:17","Reasons","top_reason_1","gate_rejected_upstream","count=415"
"2026-03-11 15:13:17","Reasons","top_reason_2","alpha_mode_off","count=248"
"2026-03-11 15:13:17","Reasons","top_reason_3","validation_runtime_active_v1","count=153"
"2026-03-11 15:13:17","Reasons","top_reason_4","signal_eval_runtime_v1","count=153"
"2026-03-11 15:13:17","Reasons","top_reason_5","core_context_from_snapshot_v1","count=153"
